PMID,Journal,publisher_guess,year,doi,doi_url
21356918,CSH Protoc,Unknown,2008,10.1101/pdb.prot5049,https://cshprotocols.cshlp.org/content/2008/9/pdb.prot5049
21356915,CSH Protoc,Unknown,2008,10.1101/pdb.prot5046,https://cshprotocols.cshlp.org/content/2008/9/pdb.prot5046
38866546,Cold Spring Harb Protoc,Unknown,2024,10.1101/pdb.prot108499,https://cshprotocols.cshlp.org/content/early/2024/06/12/pdb.prot108499
38087463,Cold Spring Harb Protoc,Unknown,2024,10.1101/pdb.prot108342,https://cshprotocols.cshlp.org/content/2024/7/pdb.prot108342
