PMID,Journal,publisher_guess,year,doi,doi_url
38827345,Iran J Biotechnol,Unknown,2024,10.30498/ijb.2024.388457.3644,https://www.ijbiotech.com/article_189424.html
38344706,Iran J Biotechnol,Unknown,2023,10.30498/ijb.2023.364919.3530,https://www.ijbiotech.com/article_171696.html
