PMID,Journal,publisher_guess,year,doi,doi_url
38124654,Acta Chim Slov,Unknown,2023,10.17344/acsi.2022.7668,https://acsi-journal.eu/index.php/ACSi/article/view/7668
38124634,Acta Chim Slov,Unknown,2023,10.17344/acsi.2023.8465,https://acsi-journal.eu/index.php/ACSi/article/view/8465
