PMID,Journal,publisher_guess,year,doi,doi_url
25309636,Open Urol Nephrol J,Unknown,2014,10.2174/1874303X01407010033,https://openurologyandnephrologyjournal.com/VOLUME/7/PAGE/33/
25821528,Open Urol Nephrol J,Unknown,2014,10.2174/1874303X01407010152,https://openurologyandnephrologyjournal.com/VOLUME/7/PAGE/152/ABSTRACT/
