PMID,Journal,publisher_guess,year,doi,doi_url
32905315,Mich J Community Serv Learn,Unknown,2019,10.3998/mjcsloa.3239521.0025.106,https://quod.lib.umich.edu/cgi/t/text/text-idx?cc=mjcsloa;c=mjcsl;c=mjcsloa;idno=3239521.0025.106;view=text;rgn=main;xc=1;g=mjcslg
22140303,J Electron Publ,Unknown,2011,10.3998/3336451.0014.106,https://quod.lib.umich.edu/j/jep/3336451.0014.106?view=text;rgn=main
31579296,Ergo (Ann Arbor),Unknown,2019,10.3998/ergo.12405314.0006.010,https://quod.lib.umich.edu/e/ergo/12405314.0006.010?view=text;rgn=main
29152537,Ergo (Ann Arbor),Unknown,2017,10.3998/ergo.12405314.0004.009,https://quod.lib.umich.edu/e/ergo/12405314.0004.009?view=text;rgn=main
