PMID,Journal,publisher_guess,year,doi,doi_url
38736386,Se Pu,Unknown,2024,10.3724/SP.J.1123.2023.07012,https://www.sciengine.com/CJCSP/doi/10.3724/SP.J.1123.2023.07012;JSESSIONID=a05b72c4-f840-4d02-beb7-a7416ec7a54a
37916308,Zhejiang Da Xue Xue Bao Yi Xue Ban,Unknown,2023,10.3724/zdxbyxb-2023-0263,https://www.sciengine.com/JZJUMS/doi/10.3724/zdxbyxb-2023-0263;JSESSIONID=dbd9d755-37d1-4d72-90cc-239c12265586
38761011,Acta Biochim Biophys Sin (Shanghai),Unknown,2024,10.3724/abbs.2024030,https://www.sciengine.com/ABBS/doi/10.3724/abbs.2024030;JSESSIONID=8bcf6a29-ffd1-429f-ae53-a63b5ddfc09c
