PMID,Journal,publisher_guess,year,doi,doi_url
38862121,Cir Cir,Unknown,2024,10.24875/CIRU.23000318,https://www.cirugiaycirujanos.com/frame_esp.php?id=1016
38862114,Cir Cir,Unknown,2024,10.24875/CIRU.22000281,https://www.cirugiaycirujanos.com/frame_esp.php?id=1021
