PMID,Journal,publisher_guess,year,doi,doi_url
38756183,Psicooncologia (Pozuelo de Alarcon),Unknown,2022,10.5209/psic.84042,https://revistas.ucm.es/index.php/PSIC/article/view/84042
24416043,Psicooncologia (Pozuelo de Alarcon),Unknown,2013,10.5209/rev_PSIC.2013.v10.41947,https://revistas.ucm.es/index.php/PSIC/article/view/41947
