PMID,Journal,publisher_guess,year,doi,doi_url
38753572,Gac Med Mex,Unknown,2024,10.24875/GMM.M24000854,https://www.gacetamedicademexico.com/frame_eng.php?id=901
37699220,Gac Med Mex,Unknown,2023,10.24875/GMM.M23000798,https://www.gacetamedicademexico.com/frame_eng.php?id=851
