PMID,Journal,publisher_guess,year,doi,doi_url
34074673,J Rheumatol Suppl,Unknown,2021,10.3899/jrheum.201682,https://www.jrheum.org/content/early/2021/02/10/jrheum.201682
26523057,J Rheumatol Suppl,Unknown,2015,10.3899/jrheum.150636,https://www.jrheum.org/content/93/48
