PMID,Journal,publisher_guess,year,doi,doi_url
5810765,KY Rep,Unknown,1969,10.2172/4775160,https://www.osti.gov/biblio/4775160
24546049,KY Rep,Unknown,1959,10.2172/4199670,https://www.osti.gov/biblio/4199670/
5734636,ACRH Rep,Unknown,1968,10.2172/4564920,https://www.osti.gov/biblio/4564920/
5294137,CEX Rep Civ Eff Exerc,Unknown,1969,10.2172/4790190,https://www.osti.gov/biblio/4790190
5853743,CEX Rep Civ Eff Exerc,Unknown,1965,10.2172/4565259,https://www.osti.gov/biblio/4565259/
5302786,SC Rep,Unknown,1967,10.2172/4496842,https://www.osti.gov/biblio/4496842/
5713365,K Rep,Unknown,1968,10.2172/4500711,https://www.osti.gov/biblio/4500711/
15445660,Annu Rep Div Biol Med Res Argonne Natl Lab,Unknown,1961,10.2172/4005468,https://www.osti.gov/biblio/4005468/
22328910,Open Cell Signal J,Unknown,2010,10.2172/1011038,https://www.osti.gov/biblio/1011038
