PMID,Journal,publisher_guess,year,doi,doi_url
30450142,Open Microbiol J,Unknown,2018,10.2174/1874285801812010353,https://openmicrobiologyjournal.com/VOLUME/12/PAGE/353/
28217194,Open Microbiol J,Unknown,2016,10.2174/1874285801610010211,https://openmicrobiologyjournal.com/VOLUME/10/PAGE/211/
