PMID,Journal,publisher_guess,year,doi,doi_url
38455673,Heart Int,Unknown,2023,10.17925/HI.2023.17.2.3,https://www.touchcardio.com/arrhythmia/journal-articles/conduction-system-pacing-have-we-finally-found-the-holy-grail-of-physiological-pacing/
36277324,Heart Int,Unknown,2021,10.17925/HI.2021.15.1.2,https://www.touchcardio.com/arrhythmia/journal-articles/update-on-etripamil-nasal-spray-for-the-at-home-treatment-of-acute-paroxysmal-supraventricular-tachycardia/
29862050,Eur J Arrhythm Electrophysiol,Unknown,2016,10.17925/EJAE.2016.02.02.57,https://www.touchcardio.com/arrhythmia/journal-articles/fluoroscopy-free-atrial-transseptal-puncture/
